,Season,Wins,Losses,Win_Percent,Rolling_Mean
0,1980.0,92.0,71.0,0.5644171779141104,0.5672002188958682
1,1981.0,36.0,21.0,0.631578947368421,0.5754198420277721
2,1982.0,88.0,74.0,0.5432098765432098,0.5749021200046738
3,1983.0,91.0,71.0,0.5617283950617284,0.5720687483307223
4,1984.0,79.0,83.0,0.4876543209876543,0.5578712174665248
5,1985.0,95.0,67.0,0.5864197530864198,0.5621922051208459
6,1986.0,73.0,89.0,0.4506172839506173,0.5504638100591175
7,1987.0,73.0,89.0,0.4506172839506173,0.5350317112936853
8,1988.0,94.0,67.0,0.5838509316770186,0.5347748291527451
9,1989.0,77.0,83.0,0.48125,0.5341343970539797
10,1990.0,86.0,76.0,0.5308641975308642,0.530779099015655
11,1991.0,93.0,69.0,0.5740740740740741,0.5250286116862204
12,1992.0,63.0,99.0,0.3888888888888889,0.5095965129207883
13,1993.0,81.0,81.0,0.5,0.5034236734146155
14,1994.0,58.0,56.0,0.5087719298245614,0.5055354342983062
15,1995.0,78.0,66.0,0.5416666666666666,0.5010601256563308
16,1996.0,90.0,72.0,0.5555555555555556,0.5115539528168247
17,1997.0,88.0,74.0,0.5432098765432098,0.520813212076084
18,1998.0,83.0,79.0,0.5123456790123457,0.5136626868096167
19,1999.0,77.0,85.0,0.47530864197530864,0.5130685510071475
20,2000.0,86.0,76.0,0.5308641975308642,0.5130685510071475
21,2001.0,86.0,76.0,0.5308641975308642,0.5087475633528264
22,2002.0,92.0,70.0,0.5679012345679012,0.5266487979207277
23,2003.0,85.0,77.0,0.5246913580246914,0.5291179337231968
24,2004.0,93.0,69.0,0.5740740740740741,0.5356481481481481
25,2005.0,71.0,91.0,0.4382716049382716,0.5253086419753086
26,2006.0,88.0,74.0,0.5432098765432098,0.5240740740740739
27,2007.0,82.0,80.0,0.5061728395061729,0.5203703703703704
28,2008.0,84.0,78.0,0.5185185185185185,0.5209876543209876
29,2009.0,95.0,67.0,0.5864197530864198,0.5320987654320988
30,2010.0,80.0,82.0,0.49382716049382713,0.5283950617283951
31,2011.0,82.0,79.0,0.5093167701863354,0.5262403189939422
32,2012.0,86.0,76.0,0.5308641975308642,0.5225366152902385
33,2013.0,92.0,70.0,0.5679012345679012,0.5268576029445595
34,2014.0,94.0,68.0,0.5802469135802469,0.5274748868951767
35,2015.0,92.0,70.0,0.5679012345679012,0.5404378498581397
36,2016.0,91.0,71.0,0.5617283950617284,0.5422897017099916
